date,temperature,humidity,rainfall,wind_speed,pressure,label,event_source
2019-08-09,26.3,92.0,44.3,19.4,1009.1,Flood Risk,Kerala Floods 2019
2019-08-10,25.6,94.0,40.6,20.1,1009.4,Flood Risk,Kerala Floods 2019
2019-08-11,27.6,92.0,9.5,19.0,1008.9,Low Risk,Kerala Floods 2019
2019-08-12,26.8,92.0,22.6,20.2,1008.9,Low Risk,Kerala Floods 2019
2019-08-13,25.8,93.0,43.0,21.2,1008.9,Flood Risk,Kerala Floods 2019
2019-08-14,26.0,92.0,48.9,22.8,1010.4,Flood Risk,Kerala Floods 2019
2019-08-15,27.6,90.0,5.7,20.0,1010.4,Low Risk,Kerala Floods 2019
2019-08-16,27.6,90.0,18.0,18.1,1009.7,Low Risk,Kerala Floods 2019
2015-11-28,28.5,78.0,0.4,19.0,1011.6,Low Risk,Chennai Floods 2015
2015-11-29,27.5,90.0,17.5,16.1,1012.1,Low Risk,Chennai Floods 2015
2015-11-30,26.6,91.0,12.5,24.5,1012.4,Low Risk,Chennai Floods 2015
2015-12-01,25.5,93.0,48.8,27.5,1010.7,Flood Risk,Chennai Floods 2015
2015-12-02,24.8,94.0,57.9,17.4,1011.0,Flood Risk,Chennai Floods 2015
2015-12-03,26.4,88.0,22.9,23.7,1010.7,Low Risk,Chennai Floods 2015
2015-12-04,27.9,86.0,9.3,26.2,1010.6,Low Risk,Chennai Floods 2015
2015-12-05,28.2,85.0,10.2,24.5,1010.8,Low Risk,Chennai Floods 2015
2015-12-06,26.6,88.0,19.8,19.7,1011.4,Low Risk,Chennai Floods 2015
2019-08-02,24.2,92.0,30.5,28.0,944.8,Low Risk,Kolhapur Floods 2019
2019-08-03,23.3,92.0,62.8,27.3,944.8,Flood Risk,Kolhapur Floods 2019
2019-08-04,23.3,92.0,99.1,32.0,943.8,Flood Risk,Kolhapur Floods 2019
2019-08-05,23.7,93.0,55.3,29.8,943.0,Flood Risk,Kolhapur Floods 2019
2019-08-06,24.0,92.0,32.5,32.0,942.6,Low Risk,Kolhapur Floods 2019
2019-08-07,24.0,92.0,32.5,36.6,941.6,Low Risk,Kolhapur Floods 2019
2019-08-08,24.1,93.0,16.3,32.5,940.8,Low Risk,Kolhapur Floods 2019
2019-08-09,24.0,92.0,19.5,31.4,941.8,Low Risk,Kolhapur Floods 2019
2019-08-10,23.6,91.0,14.6,28.6,943.4,Low Risk,Kolhapur Floods 2019
2019-08-11,25.6,88.0,9.1,29.6,944.8,Low Risk,Kolhapur Floods 2019
2019-08-12,25.9,88.0,4.0,25.6,945.0,Low Risk,Kolhapur Floods 2019
2021-07-20,26.6,94.0,60.3,15.4,1006.0,Flood Risk,Mahad Konkan Deluge 2021
2021-07-21,26.1,94.0,74.6,15.7,1005.0,Flood Risk,Mahad Konkan Deluge 2021
2021-07-22,26.5,93.0,63.0,15.8,1002.3,Flood Risk,Mahad Konkan Deluge 2021
2021-07-23,25.5,95.0,64.7,8.3,1002.4,Flood Risk,Mahad Konkan Deluge 2021
2021-07-24,27.6,91.0,29.3,17.8,1003.3,Low Risk,Mahad Konkan Deluge 2021
2021-07-25,28.8,90.0,20.3,14.8,1004.2,Low Risk,Mahad Konkan Deluge 2021
2021-07-26,28.7,90.0,22.7,17.8,1004.8,Low Risk,Mahad Konkan Deluge 2021
2022-06-13,25.6,94.0,19.6,10.1,997.6,Low Risk,Assam Brahmaputra Floods 2022
2022-06-14,27.5,92.0,10.5,11.5,997.0,Low Risk,Assam Brahmaputra Floods 2022
2022-06-15,27.1,95.0,28.1,9.6,996.8,Low Risk,Assam Brahmaputra Floods 2022
2022-06-16,25.6,96.0,31.3,16.2,996.8,Low Risk,Assam Brahmaputra Floods 2022
2022-06-17,26.7,95.0,55.2,8.7,996.7,Flood Risk,Assam Brahmaputra Floods 2022
2022-06-18,28.5,92.0,14.2,7.4,996.9,Low Risk,Assam Brahmaputra Floods 2022
2022-06-19,29.7,90.0,13.2,6.4,996.2,Low Risk,Assam Brahmaputra Floods 2022
2022-06-20,28.4,91.0,6.7,8.1,995.0,Low Risk,Assam Brahmaputra Floods 2022
2022-06-21,29.9,88.0,3.7,7.6,995.0,Low Risk,Assam Brahmaputra Floods 2022
2022-06-22,31.5,85.0,22.6,12.4,997.4,Low Risk,Assam Brahmaputra Floods 2022
2022-06-23,30.6,86.0,12.1,11.1,998.1,Low Risk,Assam Brahmaputra Floods 2022
2022-06-24,30.6,87.0,12.7,6.3,997.3,Low Risk,Assam Brahmaputra Floods 2022
2022-06-25,30.8,87.0,16.5,7.4,996.7,Low Risk,Assam Brahmaputra Floods 2022
2023-07-08,29.6,91.0,34.4,21.9,977.7,Low Risk,Delhi Yamuna Floods 2023
2023-07-09,30.8,91.0,29.7,16.5,977.0,Low Risk,Delhi Yamuna Floods 2023
2023-07-10,31.0,90.0,34.1,13.0,977.0,Low Risk,Delhi Yamuna Floods 2023
2023-07-11,33.3,84.0,2.9,11.6,976.9,Low Risk,Delhi Yamuna Floods 2023
2023-07-12,33.5,86.0,9.6,15.0,976.6,Low Risk,Delhi Yamuna Floods 2023
2023-07-13,33.2,82.0,5.2,14.7,976.8,Low Risk,Delhi Yamuna Floods 2023
2023-07-14,33.8,83.0,21.1,14.4,977.7,Low Risk,Delhi Yamuna Floods 2023
2023-07-20,26.0,96.0,48.7,23.2,991.5,Flood Risk,Junagadh Flash Floods 2023
2023-07-21,29.4,90.0,4.9,18.4,993.6,Low Risk,Junagadh Flash Floods 2023
2023-07-22,26.4,95.0,52.1,18.4,994.1,Flood Risk,Junagadh Flash Floods 2023
2023-07-23,26.3,96.0,144.4,22.6,991.6,Flood Risk,Junagadh Flash Floods 2023
2023-07-24,28.7,89.0,13.8,21.1,992.4,Low Risk,Junagadh Flash Floods 2023
2023-07-25,29.3,87.0,6.8,20.8,994.9,Low Risk,Junagadh Flash Floods 2023
2013-06-14,30.1,75.0,0.5,7.4,931.2,Low Risk,Kedarnath Cloudburst 2013
2013-06-15,28.8,78.0,10.2,8.3,931.4,Low Risk,Kedarnath Cloudburst 2013
2013-06-16,26.2,93.0,79.9,7.4,929.7,Flood Risk,Kedarnath Cloudburst 2013
2013-06-17,25.7,89.0,108.0,4.6,927.1,Flood Risk,Kedarnath Cloudburst 2013
2013-06-18,27.2,84.0,1.8,5.8,928.9,Low Risk,Kedarnath Cloudburst 2013
2024-07-27,25.2,86.0,5.3,18.0,927.5,Low Risk,Wayanad Deluge 2024
2024-07-28,24.9,84.0,5.2,14.8,926.2,Low Risk,Wayanad Deluge 2024
2024-07-29,24.5,93.0,29.1,13.2,924.7,Low Risk,Wayanad Deluge 2024
2024-07-30,22.4,100.0,55.3,12.2,927.0,Flood Risk,Wayanad Deluge 2024
2024-07-31,25.1,96.0,45.0,12.4,928.1,Flood Risk,Wayanad Deluge 2024
2024-08-01,23.7,95.0,18.6,9.5,928.2,Low Risk,Wayanad Deluge 2024
2024-08-02,26.2,88.0,4.9,16.5,928.4,Low Risk,Wayanad Deluge 2024
2021-05-16,39.5,41.0,0.3,25.3,999.5,Low Risk,Cyclone Tauktae 2021 (Gujarat)
2021-05-17,31.2,76.0,118.6,108.9,992.9,Cyclone Risk,Cyclone Tauktae 2021 (Gujarat)
2021-05-18,30.5,82.0,89.9,95.0,989.0,Cyclone Risk,Cyclone Tauktae 2021 (Gujarat)
2021-05-19,34.9,74.0,0.9,23.2,1003.0,Low Risk,Cyclone Tauktae 2021 (Gujarat)
2023-06-13,30.3,79.0,14.7,50.3,995.9,Cyclone Risk,Cyclone Biparjoy 2023 (Kutch)
2023-06-14,31.9,74.0,5.2,60.5,996.4,Cyclone Risk,Cyclone Biparjoy 2023 (Kutch)
2023-06-15,29.6,83.0,26.3,63.0,988.9,Cyclone Risk,Cyclone Biparjoy 2023 (Kutch)
2023-06-16,29.2,87.0,99.0,83.0,990.5,Cyclone Risk,Cyclone Biparjoy 2023 (Kutch)
2023-06-17,30.4,83.0,2.0,39.4,1000.9,Cyclone Risk,Cyclone Biparjoy 2023 (Kutch)
2020-05-19,32.4,83.0,5.5,17.3,999.1,Low Risk,Cyclone Amphan 2020 (Bengal)
2020-05-20,28.2,91.0,99.1,68.9,986.4,Cyclone Risk,Cyclone Amphan 2020 (Bengal)
2020-05-21,29.3,81.0,8.4,37.5,995.7,Cyclone Risk,Cyclone Amphan 2020 (Bengal)
2020-05-22,33.1,80.0,0.0,18.4,1001.6,Low Risk,Cyclone Amphan 2020 (Bengal)
2019-05-02,31.7,85.0,62.8,38.0,1001.9,Cyclone Risk,Cyclone Fani 2019 (Puri)
2019-05-03,29.0,86.0,149.2,91.4,990.9,Cyclone Risk,Cyclone Fani 2019 (Puri)
2019-05-04,30.9,89.0,0.0,26.7,1004.0,Low Risk,Cyclone Fani 2019 (Puri)
2019-05-05,30.9,88.0,0.3,19.4,1005.7,Low Risk,Cyclone Fani 2019 (Puri)
2014-10-11,29.8,71.0,1.7,36.4,995.7,Cyclone Risk,Cyclone Hudhud 2014 (Vizag)
2014-10-12,26.7,85.0,171.2,70.2,982.4,Cyclone Risk,Cyclone Hudhud 2014 (Vizag)
2014-10-13,30.0,79.0,8.6,50.2,1000.1,Cyclone Risk,Cyclone Hudhud 2014 (Vizag)
2014-10-14,29.7,85.0,2.6,15.9,1006.4,Low Risk,Cyclone Hudhud 2014 (Vizag)
2020-11-24,26.9,88.0,10.9,27.1,1008.6,Low Risk,Cyclone Nivar 2020 (Puducherry)
2020-11-25,25.0,91.0,179.5,48.6,1002.6,Cyclone Risk,Cyclone Nivar 2020 (Puducherry)
2020-11-26,29.2,83.0,83.9,41.7,1003.0,Cyclone Risk,Cyclone Nivar 2020 (Puducherry)
2020-11-27,28.7,83.0,1.1,23.7,1008.8,Low Risk,Cyclone Nivar 2020 (Puducherry)
2023-12-03,26.1,92.0,54.0,34.4,1005.3,Cyclone Risk,Cyclone Michaung 2023 (Chennai/AP)
2023-12-04,25.2,90.0,255.8,50.1,998.6,Cyclone Risk,Cyclone Michaung 2023 (Chennai/AP)
2023-12-05,31.0,80.0,14.3,26.0,1004.8,Low Risk,Cyclone Michaung 2023 (Chennai/AP)
2023-12-06,30.1,89.0,17.1,15.6,1008.1,Low Risk,Cyclone Michaung 2023 (Chennai/AP)
2021-05-25,31.3,87.0,40.9,40.4,993.6,Cyclone Risk,Cyclone Yaas 2021 (Balasore)
2021-05-26,30.5,86.0,72.1,63.1,981.5,Cyclone Risk,Cyclone Yaas 2021 (Balasore)
2021-05-27,31.9,75.0,3.2,38.8,995.5,Cyclone Risk,Cyclone Yaas 2021 (Balasore)
2021-05-28,31.8,84.0,1.7,27.3,1002.4,Low Risk,Cyclone Yaas 2021 (Balasore)
2017-11-29,29.1,84.0,7.2,19.1,1004.0,Low Risk,Cyclone Ockhi 2017 (Kerala)
2017-11-30,25.7,90.0,67.7,37.6,999.5,Cyclone Risk,Cyclone Ockhi 2017 (Kerala)
2017-12-01,25.0,95.0,38.6,23.7,1003.2,Low Risk,Cyclone Ockhi 2017 (Kerala)
2017-12-02,28.2,90.0,11.1,15.2,1005.6,Low Risk,Cyclone Ockhi 2017 (Kerala)
2017-12-03,29.6,85.0,1.4,8.6,1006.5,Low Risk,Cyclone Ockhi 2017 (Kerala)
2016-12-11,29.5,66.0,6.7,28.1,1006.1,Low Risk,Cyclone Vardah 2016 (Chennai)
2016-12-12,24.4,88.0,146.3,65.2,997.5,Cyclone Risk,Cyclone Vardah 2016 (Chennai)
2016-12-13,28.4,83.0,8.9,36.2,1007.3,Cyclone Risk,Cyclone Vardah 2016 (Chennai)
2016-12-14,28.7,82.0,0.0,12.5,1010.2,Low Risk,Cyclone Vardah 2016 (Chennai)
2013-10-11,29.5,83.0,13.4,27.7,1005.0,Low Risk,Cyclone Phailin 2013 (Odisha)
2013-10-12,26.9,90.0,137.7,67.7,987.2,Cyclone Risk,Cyclone Phailin 2013 (Odisha)
2013-10-13,29.8,82.0,26.1,51.3,995.7,Cyclone Risk,Cyclone Phailin 2013 (Odisha)
2013-10-14,29.8,87.0,0.9,18.6,1004.1,Low Risk,Cyclone Phailin 2013 (Odisha)
2016-04-15,40.3,24.0,0.0,10.9,939.2,Drought Risk,Marathwada Latur 2016
2016-04-16,40.5,25.0,0.2,14.8,938.7,Drought Risk,Marathwada Latur 2016
2016-04-17,40.3,22.0,0.0,14.6,938.4,Drought Risk,Marathwada Latur 2016
2016-04-18,38.3,30.0,0.5,18.3,939.1,Drought Risk,Marathwada Latur 2016
2016-04-19,37.9,34.0,0.0,9.5,939.6,Low Risk,Marathwada Latur 2016
2016-04-20,39.8,27.0,0.0,9.8,940.6,Drought Risk,Marathwada Latur 2016
2016-04-21,40.6,24.0,0.0,12.6,939.3,Drought Risk,Marathwada Latur 2016
2016-04-22,40.6,20.0,0.0,20.7,938.8,Drought Risk,Marathwada Latur 2016
2016-04-23,39.7,24.0,0.0,16.1,937.5,Drought Risk,Marathwada Latur 2016
2016-04-24,39.9,22.0,0.0,16.0,936.8,Drought Risk,Marathwada Latur 2016
2016-04-25,40.4,24.0,0.0,14.8,937.5,Drought Risk,Marathwada Latur 2016
2016-04-26,40.9,20.0,0.0,16.6,939.3,Drought Risk,Marathwada Latur 2016
2016-04-27,40.3,27.0,0.5,15.3,938.9,Drought Risk,Marathwada Latur 2016
2016-04-28,39.7,28.0,1.6,10.0,938.6,Drought Risk,Marathwada Latur 2016
2016-04-29,38.8,32.0,1.9,16.2,939.0,Drought Risk,Marathwada Latur 2016
2016-04-30,39.4,34.0,1.6,16.3,939.1,Drought Risk,Marathwada Latur 2016
2016-05-01,38.9,33.0,0.3,9.4,938.3,Drought Risk,Marathwada Latur 2016
2016-05-02,39.0,27.0,0.0,11.4,938.5,Drought Risk,Marathwada Latur 2016
2016-05-03,40.0,30.0,1.7,12.9,938.1,Drought Risk,Marathwada Latur 2016
2016-05-04,38.8,40.0,2.1,13.4,938.4,Low Risk,Marathwada Latur 2016
2016-05-05,38.3,44.0,1.6,12.6,938.7,Drought Risk,Marathwada Latur 2016
2016-05-06,35.5,51.0,1.3,18.5,939.2,Low Risk,Marathwada Latur 2016
2016-05-07,36.9,40.0,0.0,11.9,938.3,Low Risk,Marathwada Latur 2016
2016-05-08,36.3,40.0,0.0,14.4,939.5,Low Risk,Marathwada Latur 2016
2016-05-09,36.8,41.0,1.1,9.2,939.7,Low Risk,Marathwada Latur 2016
2016-05-10,36.2,48.0,1.7,11.8,939.9,Low Risk,Marathwada Latur 2016
2016-05-11,37.2,42.0,1.1,13.1,939.2,Low Risk,Marathwada Latur 2016
2016-05-12,37.7,42.0,0.2,11.8,937.3,Low Risk,Marathwada Latur 2016
2016-05-13,39.4,38.0,0.0,14.6,937.2,Drought Risk,Marathwada Latur 2016
2016-05-14,39.5,36.0,0.0,13.0,938.2,Drought Risk,Marathwada Latur 2016
2016-05-15,39.6,32.0,0.0,10.7,938.2,Drought Risk,Marathwada Latur 2016
2016-05-16,39.2,37.0,0.0,12.8,936.3,Drought Risk,Marathwada Latur 2016
2016-05-17,40.7,34.0,0.0,14.8,934.3,Drought Risk,Marathwada Latur 2016
2016-05-18,40.6,36.0,0.0,18.6,932.7,Drought Risk,Marathwada Latur 2016
2016-05-19,40.1,42.0,0.0,23.0,931.8,Drought Risk,Marathwada Latur 2016
2016-05-20,39.8,41.0,0.0,23.8,932.7,Drought Risk,Marathwada Latur 2016
2016-05-21,40.1,41.0,0.0,24.2,935.0,Drought Risk,Marathwada Latur 2016
2016-05-22,40.0,38.0,0.0,24.1,936.7,Drought Risk,Marathwada Latur 2016
2016-05-23,38.4,43.0,0.0,24.1,937.6,Drought Risk,Marathwada Latur 2016
2016-05-24,38.6,41.0,0.0,23.9,937.3,Drought Risk,Marathwada Latur 2016
2016-05-25,38.5,42.0,0.0,21.1,936.8,Drought Risk,Marathwada Latur 2016
2016-05-26,38.2,44.0,0.0,19.9,937.3,Drought Risk,Marathwada Latur 2016
2016-05-27,38.4,42.0,0.0,19.6,938.0,Drought Risk,Marathwada Latur 2016
2016-05-28,38.4,41.0,0.0,18.8,937.7,Drought Risk,Marathwada Latur 2016
2016-05-29,38.4,39.0,0.0,19.1,937.0,Drought Risk,Marathwada Latur 2016
2016-05-30,37.3,41.0,0.0,18.1,936.6,Low Risk,Marathwada Latur 2016
2016-05-31,36.7,38.0,0.0,18.4,937.4,Low Risk,Marathwada Latur 2016
2016-06-01,38.0,40.0,0.1,17.8,937.7,Drought Risk,Marathwada Latur 2016
2016-06-02,37.8,45.0,0.4,17.7,937.4,Low Risk,Marathwada Latur 2016
2016-06-03,38.8,49.0,0.4,17.6,936.6,Low Risk,Marathwada Latur 2016
2016-06-04,36.8,57.0,1.8,20.3,936.3,Low Risk,Marathwada Latur 2016
2016-06-05,35.0,60.0,1.5,21.2,936.5,Low Risk,Marathwada Latur 2016
2016-06-06,32.8,73.0,7.5,14.7,936.1,Low Risk,Marathwada Latur 2016
2016-06-07,34.6,63.0,0.5,12.7,935.8,Low Risk,Marathwada Latur 2016
2016-06-08,33.3,60.0,1.7,13.3,935.6,Low Risk,Marathwada Latur 2016
2016-06-09,34.2,62.0,4.1,17.1,935.8,Low Risk,Marathwada Latur 2016
2016-06-10,32.0,65.0,0.2,18.4,936.1,Low Risk,Marathwada Latur 2016
2016-06-11,31.8,67.0,6.5,18.8,936.6,Low Risk,Marathwada Latur 2016
2016-06-12,33.1,65.0,1.1,20.3,936.8,Low Risk,Marathwada Latur 2016
2016-06-13,34.2,57.0,0.0,19.8,937.0,Low Risk,Marathwada Latur 2016
2016-06-14,34.5,55.0,0.0,22.7,936.4,Low Risk,Marathwada Latur 2016
2016-06-15,34.8,56.0,0.0,22.4,935.2,Low Risk,Marathwada Latur 2016
2019-05-01,39.7,24.0,0.0,23.2,949.4,Drought Risk,Marathwada Beed 2019
2019-05-02,39.1,26.0,0.0,23.0,949.2,Drought Risk,Marathwada Beed 2019
2019-05-03,37.6,28.0,0.0,21.7,950.4,Low Risk,Marathwada Beed 2019
2019-05-04,37.0,34.0,0.0,18.5,952.8,Low Risk,Marathwada Beed 2019
2019-05-05,38.3,34.0,0.0,21.1,954.4,Drought Risk,Marathwada Beed 2019
2019-05-06,38.5,28.0,0.0,23.9,952.8,Drought Risk,Marathwada Beed 2019
2019-05-07,39.1,25.0,0.0,30.7,951.8,Drought Risk,Marathwada Beed 2019
2019-05-08,38.4,32.0,0.0,29.0,952.5,Drought Risk,Marathwada Beed 2019
2019-05-09,37.3,36.0,0.0,24.8,952.2,Low Risk,Marathwada Beed 2019
2019-05-10,38.3,34.0,0.0,24.5,952.1,Drought Risk,Marathwada Beed 2019
2019-05-11,38.4,32.0,0.0,20.3,953.2,Drought Risk,Marathwada Beed 2019
2019-05-12,39.3,26.0,0.0,19.1,952.3,Drought Risk,Marathwada Beed 2019
2019-05-13,39.4,34.0,0.0,21.3,951.5,Drought Risk,Marathwada Beed 2019
2019-05-14,40.0,29.0,0.0,21.9,951.5,Drought Risk,Marathwada Beed 2019
2019-05-15,39.4,25.0,0.0,21.2,952.4,Drought Risk,Marathwada Beed 2019
2019-05-16,39.7,25.0,0.0,21.8,953.3,Drought Risk,Marathwada Beed 2019
2019-05-17,39.0,26.0,0.0,27.2,953.3,Drought Risk,Marathwada Beed 2019
2019-05-18,39.4,26.0,0.0,23.7,952.6,Drought Risk,Marathwada Beed 2019
2019-05-19,39.8,23.0,0.0,20.3,952.5,Drought Risk,Marathwada Beed 2019
2019-05-20,40.2,22.0,0.0,18.4,952.5,Drought Risk,Marathwada Beed 2019
2019-05-21,40.4,24.0,0.0,19.5,951.9,Drought Risk,Marathwada Beed 2019
2019-05-22,40.0,26.0,0.0,20.1,951.5,Drought Risk,Marathwada Beed 2019
2019-05-23,41.0,27.0,0.0,21.2,950.9,Drought Risk,Marathwada Beed 2019
2019-05-24,40.2,30.0,0.0,24.2,951.8,Drought Risk,Marathwada Beed 2019
2019-05-25,39.6,29.0,0.0,21.1,951.1,Drought Risk,Marathwada Beed 2019
2019-05-26,40.8,32.0,0.0,22.4,949.9,Drought Risk,Marathwada Beed 2019
2019-05-27,40.7,36.0,0.0,24.8,949.9,Drought Risk,Marathwada Beed 2019
2019-05-28,40.7,26.0,0.0,27.8,949.6,Drought Risk,Marathwada Beed 2019
2019-05-29,40.9,25.0,0.0,25.7,948.9,Drought Risk,Marathwada Beed 2019
2019-05-30,40.0,25.0,0.0,27.6,948.4,Drought Risk,Marathwada Beed 2019
2019-05-31,40.4,26.0,0.0,25.4,948.6,Drought Risk,Marathwada Beed 2019
2019-06-01,40.0,34.0,0.0,23.1,949.9,Drought Risk,Marathwada Beed 2019
2019-06-02,40.6,37.0,0.0,35.1,949.5,Drought Risk,Marathwada Beed 2019
2019-06-03,40.0,41.0,0.0,25.5,949.6,Drought Risk,Marathwada Beed 2019
2019-06-04,39.8,40.0,0.0,25.1,949.3,Drought Risk,Marathwada Beed 2019
2019-06-05,39.6,36.0,0.0,22.6,949.2,Drought Risk,Marathwada Beed 2019
2019-06-06,39.4,37.0,0.4,26.9,949.5,Drought Risk,Marathwada Beed 2019
2019-06-07,40.0,40.0,0.0,22.4,949.5,Drought Risk,Marathwada Beed 2019
2019-06-08,38.0,43.0,0.0,19.5,949.7,Drought Risk,Marathwada Beed 2019
2019-06-09,36.6,54.0,3.1,25.5,948.6,Low Risk,Marathwada Beed 2019
2019-06-10,35.8,58.0,6.3,25.7,947.5,Low Risk,Marathwada Beed 2019
2019-06-11,37.2,53.0,0.0,32.8,946.6,Low Risk,Marathwada Beed 2019
2019-06-12,34.7,56.0,2.2,35.4,946.7,Low Risk,Marathwada Beed 2019
2019-06-13,35.0,60.0,0.3,28.0,948.3,Low Risk,Marathwada Beed 2019
2019-06-14,34.5,57.0,0.9,28.0,948.6,Low Risk,Marathwada Beed 2019
2019-06-15,35.9,55.0,0.7,27.3,949.5,Low Risk,Marathwada Beed 2019
2019-05-01,42.3,17.0,0.0,20.1,971.9,Drought Risk,Bundelkhand Jhansi 2019
2019-05-02,41.4,20.0,0.0,13.0,971.9,Drought Risk,Bundelkhand Jhansi 2019
2019-05-03,39.5,32.0,0.0,23.6,973.7,Drought Risk,Bundelkhand Jhansi 2019
2019-05-04,38.1,35.0,0.0,12.3,977.0,Drought Risk,Bundelkhand Jhansi 2019
2019-05-05,39.5,24.0,0.0,18.5,978.0,Drought Risk,Bundelkhand Jhansi 2019
2019-05-06,41.5,18.0,0.0,20.2,976.0,Drought Risk,Bundelkhand Jhansi 2019
2019-05-07,42.0,16.0,0.0,23.5,974.8,Drought Risk,Bundelkhand Jhansi 2019
2019-05-08,42.3,16.0,0.0,25.1,974.8,Drought Risk,Bundelkhand Jhansi 2019
2019-05-09,41.6,16.0,0.0,26.4,974.4,Drought Risk,Bundelkhand Jhansi 2019
