N,P,K,temperature,humidity,ph,rainfall,NPK_sum,N_to_P_ratio,temp_humidity_interaction,label
71.8,47.8,29.9,30.93,91.56,6.71,271.8,149.5,1.5021,28.3195,rice
81.7,53.3,27.9,25.25,78.93,5.61,176.7,162.9,1.5328,19.9298,rice
62.7,45.1,51.6,27.73,76.06,6.04,210.4,159.4,1.3902,21.0914,rice
85.6,59.5,47.9,26.93,81.25,6.28,243.2,193.0,1.4387,21.8806,rice
71.0,42.4,46.2,35.24,82.33,6.36,284.8,159.6,1.6745,29.0131,rice
75.6,72.2,46.3,29.36,88.57,6.71,227.7,194.1,1.0471,26.0042,rice
71.0,51.3,39.9,25.62,71.85,6.49,210.6,162.2,1.384,18.408,rice
107.8,36.4,31.0,23.13,91.18,5.73,295.8,175.2,2.9615,21.0899,rice
79.8,34.3,40.8,21.18,81.05,6.59,179.3,154.9,2.3265,17.1664,rice
64.1,49.8,33.2,26.61,79.44,6.71,153.0,147.1,1.2871,21.139,rice
92.3,42.8,49.8,23.73,75.93,6.68,245.4,184.9,2.1565,18.0182,rice
61.7,52.1,38.5,21.73,72.07,6.94,212.4,152.3,1.1843,15.6608,rice
83.1,49.7,31.7,24.06,86.94,6.82,194.3,164.5,1.672,20.9178,rice
50.6,44.3,36.8,22.76,82.44,6.63,254.8,131.7,1.1422,18.7633,rice
60.1,36.5,44.1,31.06,74.26,6.36,238.5,140.7,1.6466,23.0652,rice
83.0,29.9,34.4,28.64,74.23,5.57,210.3,147.3,2.7759,21.2595,rice
91.1,40.5,31.8,25.98,79.99,6.61,185.2,163.4,2.2494,20.7814,rice
82.6,53.6,42.4,30.44,92.01,6.5,260.5,178.6,1.541,28.0078,rice
78.3,47.1,42.4,26.23,80.44,6.54,252.8,167.8,1.6624,21.0994,rice
75.5,32.5,34.9,23.42,72.98,5.76,226.5,142.9,2.3231,17.0919,rice
57.8,46.7,35.3,30.57,80.53,5.86,294.6,139.8,1.2377,24.618,rice
69.2,48.9,42.3,27.62,80.36,6.93,192.5,160.4,1.4151,22.1954,rice
73.1,36.2,25.5,22.89,65.82,6.38,176.6,134.8,2.0193,15.0662,rice
95.9,46.5,25.9,25.43,81.67,6.74,205.8,168.3,2.0624,20.7687,rice
85.2,45.6,32.8,23.37,80.61,6.41,228.4,163.6,1.8684,18.8386,rice
53.6,33.6,37.9,21.85,86.18,6.41,238.5,125.1,1.5952,18.8303,rice
84.9,48.6,43.1,28.78,93.09,6.87,221.6,176.6,1.7469,26.7913,rice
74.2,50.6,54.8,31.73,88.76,6.14,242.3,179.6,1.4664,28.1635,rice
69.8,55.8,48.6,21.8,80.39,6.45,186.2,174.2,1.2509,17.525,rice
89.2,55.5,38.4,27.69,75.36,6.17,280.5,183.1,1.6072,20.8672,rice
95.5,31.2,39.8,24.05,97.44,6.18,227.1,166.5,3.0609,23.4343,rice
94.0,35.6,30.0,24.54,82.36,6.25,269.1,159.6,2.6404,20.2111,rice
67.4,50.2,39.8,24.22,82.08,6.51,242.0,157.4,1.3426,19.8798,rice
75.4,50.1,37.1,23.41,81.86,6.16,246.0,162.6,1.505,19.1634,rice
85.0,50.2,43.2,26.15,83.19,7.03,249.9,178.4,1.6932,21.7542,rice
94.6,83.5,31.7,23.51,81.13,5.95,245.7,209.8,1.1329,19.0737,rice
72.8,50.7,45.2,26.81,78.56,6.31,252.5,168.7,1.4359,21.0619,rice
77.2,56.4,55.3,25.85,78.72,6.18,276.5,188.9,1.3688,20.3491,rice
63.4,54.5,38.9,25.28,81.8,7.12,236.9,156.8,1.1633,20.679,rice
62.1,51.5,44.0,23.28,78.74,6.5,254.8,157.6,1.2058,18.3307,rice
92.2,41.8,46.9,24.27,77.72,6.92,226.9,180.9,2.2057,18.8626,rice
100.3,52.6,36.0,28.27,82.64,5.66,280.4,188.9,1.9068,23.3623,rice
78.9,37.3,42.2,27.5,80.47,6.53,206.3,158.4,2.1153,22.1293,rice
95.1,42.6,40.1,23.07,91.02,6.84,293.0,177.8,2.2324,20.9983,rice
85.4,40.1,41.0,26.3,66.09,6.44,228.6,166.5,2.1297,17.3817,rice
70.3,45.8,32.3,28.25,88.55,6.93,179.9,148.4,1.5349,25.0154,rice
85.4,68.1,40.2,20.99,89.48,6.14,234.5,193.7,1.254,18.7819,rice
103.1,26.3,45.0,27.63,69.56,7.1,206.2,174.4,3.9202,19.2194,rice
79.5,51.9,54.5,24.01,79.94,7.55,259.4,185.9,1.5318,19.1936,rice
103.5,28.9,49.6,27.71,79.77,6.22,207.2,182.0,3.5813,22.1043,rice
40.7,40.3,61.5,23.71,73.55,6.18,214.4,142.5,1.0099,17.4387,rice
92.3,55.9,32.3,20.59,77.33,7.13,163.9,180.5,1.6512,15.9222,rice
81.3,45.6,48.7,21.12,75.34,7.19,214.2,175.6,1.7829,15.9118,rice
75.5,34.2,41.8,26.14,92.51,6.14,145.2,151.5,2.2076,24.1821,rice
81.4,37.8,61.9,26.78,87.61,6.19,174.6,181.1,2.1534,23.462,rice
50.2,51.8,31.9,23.29,89.63,6.26,256.6,133.9,0.9691,20.8748,rice
76.7,37.7,31.6,27.92,86.33,5.73,257.5,146.0,2.0345,24.1033,rice
85.4,47.2,34.0,21.02,75.23,5.94,244.9,166.6,1.8093,15.8133,rice
102.2,45.5,18.8,25.8,78.85,5.9,196.2,166.5,2.2462,20.3433,rice
72.2,38.5,34.7,22.37,84.94,6.02,228.3,145.4,1.8753,19.0011,rice
67.9,66.4,32.4,24.04,74.67,6.38,229.9,166.7,1.0226,17.9507,rice
72.5,51.3,41.5,26.14,86.28,6.52,189.5,165.3,1.4133,22.5536,rice
93.7,24.7,43.4,23.42,80.56,7.18,282.6,161.8,3.7935,18.8672,rice
84.9,46.9,58.8,24.85,79.75,5.9,260.7,190.6,1.8102,19.8179,rice
72.1,38.4,49.5,29.02,86.27,6.89,222.3,160.0,1.8776,25.0356,rice
87.7,53.5,34.2,24.27,84.67,6.29,230.9,175.4,1.6393,20.5494,rice
81.5,37.1,31.0,28.51,79.83,6.38,237.3,149.6,2.1968,22.7595,rice
94.5,43.9,44.9,22.61,88.96,6.74,158.5,183.3,2.1526,20.1139,rice
69.5,50.0,26.8,27.59,75.51,5.84,221.3,146.3,1.39,20.8332,rice
75.1,53.7,58.3,30.32,85.7,6.59,206.1,187.1,1.3985,25.9842,rice
74.1,33.0,51.8,18.59,85.56,6.48,194.9,158.9,2.2455,15.9056,rice
58.0,41.7,35.3,23.61,80.14,6.65,220.2,135.0,1.3909,18.9211,rice
84.4,40.3,22.9,27.73,83.96,6.54,292.9,147.6,2.0943,23.2821,rice
83.9,38.5,53.5,25.39,74.49,7.63,252.4,175.9,2.1792,18.913,rice
80.1,62.7,38.9,27.11,87.54,6.08,210.0,181.7,1.2775,23.7321,rice
76.5,49.0,52.4,24.19,80.89,6.13,250.0,177.9,1.5612,19.5673,rice
58.8,32.4,24.1,26.26,78.86,6.09,279.0,115.3,1.8148,20.7086,rice
73.7,54.2,34.0,25.53,88.29,6.12,262.4,161.9,1.3598,22.5404,rice
74.9,66.2,40.1,29.5,77.77,6.08,232.1,181.2,1.1314,22.9421,rice
68.0,55.3,40.5,26.76,73.55,6.99,207.4,163.8,1.2297,19.682,rice
77.6,29.8,35.5,27.01,72.66,7.11,254.4,142.9,2.604,19.6255,rice
86.1,40.2,46.2,24.76,85.64,6.11,243.8,172.5,2.1418,21.2045,rice
108.3,57.7,29.3,24.54,74.32,5.98,261.3,195.3,1.8769,18.2381,rice
82.6,37.9,38.6,24.7,92.53,6.64,252.2,159.1,2.1794,22.8549,rice
83.9,49.4,41.2,27.18,69.51,6.12,266.7,174.5,1.6984,18.8928,rice
78.9,52.7,45.1,24.74,92.18,6.72,211.3,176.7,1.4972,22.8053,rice
51.2,35.7,47.1,26.87,83.27,6.5,276.1,134.0,1.4342,22.3746,rice
79.6,44.4,28.8,32.23,81.42,5.64,236.9,152.8,1.7928,26.2417,rice
80.9,12.6,24.7,28.61,78.73,7.17,302.6,118.2,6.4206,22.5247,rice
116.9,34.8,52.8,25.02,84.39,7.3,205.9,204.5,3.3592,21.1144,rice
77.1,42.5,43.3,29.6,81.77,6.09,290.8,162.9,1.8141,24.2039,rice
84.5,32.5,32.5,24.78,88.62,6.21,236.9,149.5,2.6,21.96,rice
79.5,61.3,55.5,19.89,82.69,6.54,207.2,196.3,1.2969,16.447,rice
62.5,30.7,41.2,22.98,82.9,6.57,213.1,134.4,2.0358,19.0504,rice
97.1,40.6,51.8,20.39,79.82,6.73,218.8,189.5,2.3916,16.2753,rice
91.3,46.3,40.7,24.95,81.66,7.41,244.8,178.3,1.9719,20.3742,rice
91.9,59.4,60.6,26.06,83.85,6.31,248.3,211.9,1.5471,21.8513,rice
66.4,30.6,57.6,31.03,71.74,6.0,209.9,154.6,2.1699,22.2609,rice
101.0,56.6,37.5,26.98,73.91,5.71,229.1,195.1,1.7845,19.9409,rice
59.0,45.1,49.7,25.34,86.46,6.03,305.0,153.8,1.3082,21.909,rice
88.8,35.2,46.5,28.49,83.03,6.38,290.5,170.5,2.5227,23.6552,rice
112.9,49.6,53.7,19.37,80.9,7.3,245.3,216.2,2.2762,15.6703,rice
65.1,47.0,30.4,26.71,82.11,6.14,231.3,142.5,1.3851,21.9316,rice
71.5,39.0,46.9,28.31,84.09,6.51,234.2,157.4,1.8333,23.8059,rice
81.5,45.7,50.6,21.56,78.76,6.39,251.5,177.8,1.7834,16.9807,rice
72.4,41.1,22.4,29.43,77.33,6.99,194.2,135.9,1.7616,22.7582,rice
56.7,46.1,28.2,27.02,83.18,7.66,221.0,131.0,1.2299,22.4752,rice
81.0,51.6,19.6,24.75,76.13,6.13,171.6,152.2,1.5698,18.8422,rice
64.1,60.9,37.3,27.9,84.45,6.16,244.0,162.3,1.0525,23.5615,rice
87.1,32.6,47.2,32.81,71.78,6.92,252.7,166.9,2.6718,23.551,rice
66.2,66.3,55.0,26.55,88.17,6.74,213.1,187.5,0.9985,23.4091,rice
103.2,25.5,40.7,26.74,84.84,7.32,285.1,169.4,4.0471,22.6862,rice
68.3,43.5,56.3,24.62,83.54,6.69,187.1,168.1,1.5701,20.5675,rice
75.2,50.9,26.2,23.45,87.9,6.22,178.7,152.3,1.4774,20.6126,rice
92.2,47.8,23.0,28.49,91.99,6.7,237.9,163.0,1.9289,26.208,rice
61.5,38.8,39.4,23.43,88.09,6.95,266.6,139.7,1.5851,20.6395,rice
83.4,42.9,43.8,26.21,70.95,6.81,288.9,170.1,1.9441,18.596,rice
99.6,40.1,39.7,24.57,74.32,6.65,213.9,179.4,2.4838,18.2604,rice
55.9,39.1,19.3,27.44,78.25,6.93,267.8,114.3,1.4297,21.4718,rice
82.8,53.5,39.1,27.0,82.16,6.98,228.7,175.4,1.5477,22.1832,rice
83.9,48.6,27.0,29.11,85.11,7.09,224.0,159.5,1.7263,24.7755,rice
91.7,38.1,46.7,24.47,77.65,6.72,260.9,176.5,2.4068,19.001,rice
61.4,54.0,43.7,25.19,83.12,6.32,252.8,159.1,1.137,20.9379,rice
60.2,48.1,30.6,23.06,77.47,6.47,174.8,138.9,1.2516,17.8646,rice
87.8,53.1,34.9,24.67,78.33,7.0,281.7,175.8,1.6535,19.324,rice
84.5,51.3,29.4,27.13,73.56,5.99,278.3,165.2,1.6472,19.9568,rice
88.7,51.3,33.3,20.95,59.64,7.56,65.7,173.3,1.729,12.4946,wheat
107.1,45.7,27.0,17.62,57.61,6.78,141.5,179.8,2.3435,10.1509,wheat
108.9,51.2,50.4,16.95,56.56,6.52,87.4,210.5,2.127,9.5869,wheat
104.7,55.4,52.6,18.99,52.17,6.19,93.7,212.7,1.8899,9.9071,wheat
90.1,50.5,39.2,18.57,57.71,6.08,95.1,179.8,1.7842,10.7167,wheat
87.9,50.4,19.1,17.87,52.64,6.17,144.4,157.4,1.744,9.4068,wheat
99.5,43.0,39.5,20.74,56.35,6.91,56.6,182.0,2.314,11.687,wheat
121.1,43.4,48.9,21.39,65.54,7.0,188.4,213.4,2.7903,14.019,wheat
109.8,36.0,30.2,19.22,46.95,6.17,136.4,176.0,3.05,9.0238,wheat
93.3,67.5,46.8,22.69,64.12,7.16,115.6,207.6,1.3822,14.5488,wheat
113.9,37.6,44.8,16.15,65.54,6.61,108.6,196.3,3.0293,10.5847,wheat
48.7,43.1,50.8,18.52,54.06,6.86,117.1,142.6,1.1299,10.0119,wheat
120.7,42.8,46.2,17.21,38.03,7.44,123.0,209.7,2.8201,6.545,wheat
68.7,58.9,35.3,14.33,50.14,7.16,126.1,162.9,1.1664,7.1851,wheat
93.5,47.1,57.0,18.79,65.38,6.69,123.9,197.6,1.9851,12.2849,wheat
79.8,62.5,43.4,18.7,54.82,6.44,112.2,185.7,1.2768,10.2513,wheat
76.7,43.3,44.7,22.78,47.01,5.94,105.1,164.7,1.7714,10.7089,wheat
120.9,52.8,35.7,20.58,50.96,6.51,106.2,209.4,2.2898,10.4876,wheat
91.6,41.6,40.6,16.44,61.72,6.72,105.1,173.8,2.2019,10.1468,wheat
106.2,71.5,36.2,23.64,59.37,6.41,138.3,213.9,1.4853,14.0351,wheat
99.2,38.1,43.3,22.05,53.09,6.75,124.8,180.6,2.6037,11.7063,wheat
108.6,53.1,62.1,20.46,52.07,6.83,36.5,223.8,2.0452,10.6535,wheat
101.4,56.3,31.3,18.43,51.87,6.71,126.4,189.0,1.8011,9.5596,wheat
76.9,54.1,28.9,16.6,47.62,6.54,114.9,159.9,1.4214,7.9049,wheat
117.9,48.1,59.7,18.07,67.92,6.87,109.5,225.7,2.4511,12.2731,wheat
91.1,48.7,42.9,21.72,52.42,6.98,100.3,182.7,1.8706,11.3856,wheat
72.0,50.4,38.3,23.71,64.74,6.36,138.1,160.7,1.4286,15.3499,wheat
92.3,48.5,55.4,22.86,67.17,7.36,133.7,196.2,1.9031,15.3551,wheat
127.0,59.6,38.9,17.78,62.99,6.76,90.7,225.5,2.1309,11.1996,wheat
115.3,72.1,63.3,16.2,51.55,6.81,120.2,250.7,1.5992,8.3511,wheat
93.7,44.4,51.8,19.35,58.23,7.08,85.7,189.9,2.1104,11.2675,wheat
93.7,36.3,40.1,14.58,54.81,6.89,75.5,170.1,2.5813,7.9913,wheat
94.2,49.1,66.6,19.81,47.77,7.18,94.3,209.9,1.9185,9.4632,wheat
137.4,75.8,38.9,18.63,57.59,6.91,131.6,252.1,1.8127,10.729,wheat
106.9,42.0,52.4,17.83,45.57,6.56,133.8,201.3,2.5452,8.1251,wheat
107.7,66.4,48.0,15.01,64.5,6.94,122.8,222.1,1.622,9.6814,wheat
118.5,66.8,58.0,20.28,51.28,6.34,128.1,243.3,1.774,10.3996,wheat
104.3,44.5,60.6,17.67,56.61,6.84,122.9,209.4,2.3438,10.003,wheat
95.3,55.7,45.3,16.08,57.27,6.79,94.0,196.3,1.711,9.209,wheat
96.5,66.3,37.5,11.82,52.93,6.72,120.8,200.3,1.4555,6.2563,wheat
98.7,46.2,49.6,18.93,59.69,6.75,130.0,194.5,2.1364,11.2993,wheat
99.3,48.0,38.2,23.43,51.2,6.05,128.9,185.5,2.0687,11.9962,wheat
113.1,44.2,65.1,23.15,61.97,6.58,139.7,222.4,2.5588,14.3461,wheat
100.9,39.9,46.4,17.86,44.23,6.84,127.7,187.2,2.5288,7.8995,wheat
113.2,43.5,41.3,17.49,56.01,6.86,118.8,198.0,2.6023,9.7961,wheat
98.5,37.8,46.8,20.17,70.51,6.39,136.8,183.1,2.6058,14.2219,wheat
101.4,50.3,31.5,16.5,47.0,7.31,109.3,183.2,2.0159,7.755,wheat
64.0,42.3,35.3,19.75,49.58,6.45,88.0,141.6,1.513,9.792,wheat
116.5,52.3,57.0,20.92,59.11,7.19,105.9,225.8,2.2275,12.3658,wheat
106.2,34.4,38.4,22.07,56.44,6.97,91.4,179.0,3.0872,12.4563,wheat
118.0,53.3,34.5,18.75,57.81,6.54,93.1,205.8,2.2139,10.8394,wheat
47.9,58.3,50.4,18.49,58.91,7.51,106.4,156.6,0.8216,10.8925,wheat
137.6,30.1,56.9,16.81,60.08,6.32,90.2,224.6,4.5714,10.0994,wheat
97.5,53.7,52.2,16.93,63.88,7.17,102.3,203.4,1.8156,10.8149,wheat
119.9,62.3,55.0,18.43,58.28,7.2,62.7,237.2,1.9246,10.741,wheat
81.3,37.9,37.4,19.92,53.07,6.53,115.3,156.6,2.1451,10.5715,wheat
111.0,66.7,30.8,21.28,60.38,7.36,110.0,208.5,1.6642,12.8489,wheat
81.0,54.2,60.0,16.99,70.2,6.7,89.6,195.2,1.4945,11.927,wheat
88.8,42.9,41.8,22.73,53.94,6.92,126.5,173.5,2.0699,12.2606,wheat
134.5,49.4,42.5,18.32,47.2,6.9,133.4,226.4,2.7227,8.647,wheat
96.6,55.6,58.3,18.95,63.86,6.75,69.8,210.5,1.7374,12.1015,wheat
103.9,50.8,50.6,17.13,54.04,7.12,90.9,205.3,2.0453,9.2571,wheat
115.7,55.4,49.6,12.94,37.62,7.12,90.8,220.7,2.0884,4.868,wheat
108.9,40.8,66.7,21.21,61.78,6.1,86.5,216.4,2.6691,13.1035,wheat
102.7,51.7,38.6,20.84,50.72,7.32,130.7,193.0,1.9865,10.57,wheat
106.6,35.9,54.3,18.3,54.28,6.14,105.2,196.8,2.9694,9.9332,wheat
143.3,48.9,45.6,19.17,57.66,7.21,103.4,237.8,2.9305,11.0534,wheat
99.0,41.0,47.7,20.29,56.52,7.25,59.9,187.7,2.4146,11.4679,wheat
103.6,42.6,60.3,15.09,60.68,6.36,125.9,206.5,2.4319,9.1566,wheat
118.9,62.4,50.1,17.68,51.52,6.64,79.0,231.4,1.9054,9.1087,wheat
119.9,60.9,50.4,20.99,59.1,6.36,111.5,231.2,1.9688,12.4051,wheat
121.4,56.1,55.7,15.86,52.92,6.71,116.9,233.2,2.164,8.3931,wheat
111.5,39.1,41.4,19.73,60.91,6.68,144.0,192.0,2.8517,12.0175,wheat
79.4,46.8,36.6,15.61,59.92,7.11,77.3,162.8,1.6966,9.3535,wheat
129.4,62.1,34.6,20.17,47.52,7.32,34.5,226.1,2.0837,9.5848,wheat
79.4,51.4,25.3,18.91,63.69,7.36,114.6,156.1,1.5447,12.0438,wheat
105.4,73.2,65.6,14.96,50.71,6.58,155.0,244.2,1.4399,7.5862,wheat
86.4,53.9,34.0,21.91,61.46,6.72,141.0,174.3,1.603,13.4659,wheat
98.8,51.9,42.8,17.16,57.94,6.13,115.2,193.5,1.9037,9.9425,wheat
105.9,46.9,42.2,16.97,69.71,6.48,97.7,195.0,2.258,11.8298,wheat
105.8,51.3,48.1,19.5,53.21,7.19,130.2,205.2,2.0624,10.3759,wheat
107.6,48.5,53.2,21.87,52.21,7.45,85.7,209.3,2.2186,11.4183,wheat
129.0,57.1,53.6,16.46,54.84,6.31,121.9,239.7,2.2592,9.0267,wheat
108.2,59.6,39.2,19.15,52.57,6.56,122.6,207.0,1.8154,10.0672,wheat
95.6,42.1,43.3,20.07,61.4,6.79,136.5,181.0,2.2708,12.323,wheat
117.4,36.7,47.8,20.73,42.07,6.91,179.0,201.9,3.1989,8.7211,wheat
121.4,31.6,42.5,19.44,46.57,6.48,119.8,195.5,3.8418,9.0532,wheat
77.9,55.1,61.1,18.08,46.46,6.97,97.3,194.1,1.4138,8.4,wheat
110.8,39.0,49.9,16.93,62.6,6.61,109.4,199.7,2.841,10.5982,wheat
112.6,28.5,52.3,19.22,68.68,6.79,65.8,193.4,3.9509,13.2003,wheat
94.6,53.9,51.6,16.32,54.16,7.02,92.6,200.1,1.7551,8.8389,wheat
124.8,74.9,56.7,11.7,53.65,6.8,99.8,256.4,1.6662,6.277,wheat
97.3,49.9,46.8,20.09,55.56,6.63,96.9,194.0,1.9499,11.162,wheat
102.3,58.4,32.0,21.26,64.3,6.76,113.8,192.7,1.7517,13.6702,wheat
96.9,50.8,49.0,13.09,47.58,6.76,89.4,196.7,1.9075,6.2282,wheat
100.3,49.0,38.5,16.48,56.91,6.65,138.0,187.8,2.0469,9.3788,wheat
80.3,59.2,39.7,20.55,62.8,6.7,110.0,179.2,1.3564,12.9054,wheat
74.1,47.1,50.9,24.14,59.01,7.44,109.8,172.1,1.5732,14.245,wheat
128.7,52.7,57.4,19.05,56.52,7.02,101.8,238.8,2.4421,10.7671,wheat
84.8,53.2,45.2,17.18,63.01,6.68,113.9,183.2,1.594,10.8251,wheat
82.2,43.3,48.1,18.54,33.37,7.08,130.6,173.6,1.8984,6.1868,wheat
61.2,59.9,62.0,22.44,60.42,6.67,88.3,183.1,1.0217,13.5582,wheat
88.5,48.3,47.4,17.39,49.77,7.27,93.5,184.2,1.8323,8.655,wheat
76.2,42.4,71.0,17.0,40.35,6.95,102.4,189.6,1.7972,6.8595,wheat
129.6,55.4,50.7,17.79,59.09,6.76,76.4,235.7,2.3394,10.5121,wheat
118.2,41.0,27.4,16.62,65.99,6.98,89.5,186.6,2.8829,10.9675,wheat
87.6,50.3,52.5,19.31,53.9,6.17,98.1,190.4,1.7416,10.4081,wheat
140.5,49.9,48.8,23.06,62.62,6.35,131.9,239.2,2.8156,14.4402,wheat
117.7,60.9,57.9,19.81,67.9,6.32,116.6,236.5,1.9327,13.451,wheat
94.2,54.7,51.7,18.37,65.52,6.86,114.8,200.6,1.7221,12.036,wheat
55.0,49.7,43.6,18.27,68.12,7.49,131.3,148.3,1.1066,12.4455,wheat
141.2,58.2,32.8,15.09,60.94,7.69,106.6,232.2,2.4261,9.1958,wheat
75.0,63.9,42.9,21.21,55.6,7.06,119.8,181.8,1.1737,11.7928,wheat
70.4,55.6,36.5,18.81,42.18,7.0,107.4,162.5,1.2662,7.9341,wheat
118.4,50.1,39.2,18.55,53.03,6.08,116.6,207.7,2.3633,9.8371,wheat
143.9,36.9,50.9,26.98,48.25,6.58,95.4,231.7,3.8997,13.0179,wheat
124.9,39.3,61.7,19.75,72.37,6.48,49.0,225.9,3.1781,14.2931,wheat
110.2,46.9,48.9,17.12,53.59,6.55,106.6,206.0,2.3497,9.1746,wheat
110.7,43.9,33.0,17.93,55.99,6.73,145.6,187.6,2.5216,10.039,wheat
115.4,48.1,49.4,21.87,59.41,6.61,133.2,212.9,2.3992,12.993,wheat
113.7,50.6,57.0,19.28,55.35,6.01,134.1,221.3,2.247,10.6715,wheat
105.1,55.3,38.9,15.4,68.56,7.1,140.9,199.3,1.9005,10.5582,wheat
101.9,49.3,43.7,21.3,50.02,6.37,112.2,194.9,2.0669,10.6543,wheat
98.9,54.9,45.1,17.33,56.56,6.9,114.9,198.9,1.8015,9.8018,wheat
86.4,50.6,37.2,23.68,49.06,7.63,94.6,174.2,1.7075,11.6174,wheat
94.9,30.2,51.5,21.7,44.44,6.43,102.1,176.6,3.1424,9.6435,wheat
69.5,40.6,43.8,17.88,50.11,5.79,125.4,153.9,1.7118,8.9597,wheat
98.2,48.6,49.2,22.2,54.7,6.69,140.1,196.0,2.0206,12.1434,wheat
82.2,37.9,36.1,19.17,51.57,7.24,106.5,156.2,2.1689,9.886,wheat
80.1,56.0,40.6,21.13,49.46,7.58,98.7,176.7,1.4304,10.4509,wheat
103.2,65.3,52.2,20.21,43.75,6.31,110.0,220.7,1.5804,8.8419,wheat
125.1,62.2,41.3,16.88,54.34,7.0,125.0,228.6,2.0113,9.1726,wheat
116.5,47.9,62.3,17.39,42.96,6.61,73.9,226.7,2.4322,7.4707,wheat
71.7,64.9,41.0,21.57,61.08,6.76,52.6,177.6,1.1048,13.175,wheat
82.2,51.5,47.2,18.16,55.66,7.86,96.2,180.9,1.5961,10.1079,wheat
116.9,46.6,54.3,17.99,43.34,6.2,79.5,217.8,2.5086,7.7969,wheat
82.3,43.9,30.8,16.61,52.53,6.9,97.3,157.0,1.8747,8.7252,wheat
96.0,47.0,27.4,20.06,48.98,6.99,106.3,170.4,2.0426,9.8254,wheat
109.9,46.1,29.7,24.16,57.55,7.23,98.7,185.7,2.3839,13.9041,wheat
82.6,51.7,57.6,16.33,65.72,6.84,146.3,191.9,1.5977,10.7321,wheat
101.9,51.6,39.5,19.06,40.0,6.92,118.2,193.0,1.9748,7.624,wheat
76.0,50.0,70.6,22.53,55.92,6.64,117.5,196.6,1.52,12.5988,wheat
89.2,54.4,39.4,18.8,53.72,6.91,125.6,183.0,1.6397,10.0994,wheat
105.8,61.9,46.8,20.13,60.37,6.66,81.5,214.5,1.7092,12.1525,wheat
71.3,59.5,60.4,16.34,56.71,7.05,136.0,191.2,1.1983,9.2664,wheat
107.9,35.2,65.1,20.07,48.98,6.65,108.1,208.2,3.0653,9.8303,wheat
99.6,24.5,65.6,18.53,52.45,6.95,126.8,189.7,4.0653,9.719,wheat
109.9,59.3,57.1,21.46,48.63,6.79,83.2,226.3,1.8533,10.436,wheat
104.0,36.3,55.2,21.97,63.61,7.25,71.2,195.5,2.865,13.9751,wheat
124.6,47.8,50.9,25.47,55.17,6.78,130.4,223.3,2.6067,14.0518,wheat
96.0,46.7,34.2,19.24,68.09,6.28,82.8,176.9,2.0557,13.1005,maize
75.6,63.1,41.4,18.36,73.73,6.83,114.2,180.1,1.1981,13.5368,maize
76.1,33.5,35.6,29.61,81.1,6.06,127.6,145.2,2.2716,24.0137,maize
108.0,47.9,37.8,25.17,73.19,6.59,196.6,193.7,2.2547,18.4219,maize
71.0,35.5,53.4,21.4,66.99,6.99,156.7,159.9,2.0,14.3359,maize
116.3,51.6,50.7,25.6,73.36,6.29,99.9,218.6,2.2539,18.7802,maize
75.6,56.9,29.6,16.09,66.16,6.21,154.6,162.1,1.3286,10.6451,maize
